,CIK,CONAME,FYRMO,FDATE,FORM,SECFNAME
133,6260,ANACOMP INC,199902,02/11/1999,10-Q,https://www.sec.gov/Archives/edgar/data/6260/0000006260-99-000005.txt
134,6260,ANACOMP INC,199905,05/17/1999,10-Q,https://www.sec.gov/Archives/edgar/data/6260/0000006260-99-000007.txt
135,6260,ANACOMP INC,199908,08/13/1999,10-Q,https://www.sec.gov/Archives/edgar/data/6260/0000006260-99-000010.txt
136,11860,BETHLEHEM STEEL CORP /DE/,199811,11/12/1998,10-Q,https://www.sec.gov/Archives/edgar/data/11860/0000011860-98-000022.txt
137,11860,BETHLEHEM STEEL CORP /DE/,199903,03/24/1999,10-K405,https://www.sec.gov/Archives/edgar/data/11860/0001021408-99-000543.txt
138,11860,BETHLEHEM STEEL CORP /DE/,199905,05/14/1999,10-Q,https://www.sec.gov/Archives/edgar/data/11860/0000011860-99-000025.txt
139,11860,BETHLEHEM STEEL CORP /DE/,199906,06/29/1999,10-K/A,https://www.sec.gov/Archives/edgar/data/11860/0000011860-99-000030.txt
140,11860,BETHLEHEM STEEL CORP /DE/,199908,08/05/1999,10-Q,https://www.sec.gov/Archives/edgar/data/11860/0000011860-99-000035.txt
141,11860,BETHLEHEM STEEL CORP /DE/,199911,11/02/1999,10-Q,https://www.sec.gov/Archives/edgar/data/11860/0000011860-99-000042.txt
142,11860,BETHLEHEM STEEL CORP /DE/,200003,03/09/2000,10-K,https://www.sec.gov/Archives/edgar/data/11860/0000011860-00-000019.txt
143,11860,BETHLEHEM STEEL CORP /DE/,200005,05/03/2000,10-Q,https://www.sec.gov/Archives/edgar/data/11860/0000011860-00-000022.txt
144,11860,BETHLEHEM STEEL CORP /DE/,200006,06/28/2000,10-K/A,https://www.sec.gov/Archives/edgar/data/11860/0000011860-00-000025.txt
145,11860,BETHLEHEM STEEL CORP /DE/,200007,07/26/2000,10-Q,https://www.sec.gov/Archives/edgar/data/11860/0000011860-00-000028.txt
146,11860,BETHLEHEM STEEL CORP /DE/,200010,10/25/2000,10-Q,https://www.sec.gov/Archives/edgar/data/11860/0000011860-00-000038.txt
147,12239,SPHERIX INC,200704,04/02/2007,10-K,https://www.sec.gov/Archives/edgar/data/12239/0001104659-07-024804.txt
148,12239,SPHERIX INC,200705,05/16/2007,NT 10-Q,https://www.sec.gov/Archives/edgar/data/12239/0001104659-07-040463.txt
149,12239,SPHERIX INC,200705,05/18/2007,10-Q,https://www.sec.gov/Archives/edgar/data/12239/0001104659-07-041441.txt
150,12239,SPHERIX INC,200705,05/23/2007,10-K/A,https://www.sec.gov/Archives/edgar/data/12239/0001104659-07-042333.txt
151,12239,SPHERIX INC,200708,08/14/2007,10-Q,https://www.sec.gov/Archives/edgar/data/12239/0001104659-07-062470.txt
